eventName,blockNumber,amount,tickLower,tickUpper,amount0,amount1
Swap,12376891,0,0,0,-119744094,35000000000000000
Burn,12376958,-310565794229424,191150,198080,2588187276,931484249884373906
Burn,12376958,0,191150,198080,0,0
Mint,12377035,25652705721581,194990,195010,1000000,145737680853531
Mint,12377266,447994594415865,186730,195460,598469729,2599999995846641821
Swap,12377278,0,0,0,499756414,-144241064315415179
Mint,12377308,3508224747038658,194660,194990,3405610348,0
Mint,12377327,35118767990408024,194640,194660,1549658850,151652526935341123
Swap,12377345,0,0,0,365000000,-103492428467657963
Swap,12377364,0,0,0,-176180828,50000000000000000
Swap,12377369,0,0,0,-514279985,146000000000000000
Swap,12377375,0,0,0,-2020724832,575000000000000000
Swap,12377404,0,0,0,925233824,-263498461658450219
Swap,12377421,0,0,0,1035730000,-293973943573390213
Mint,12377429,4828391768114933,193380,196260,22181745033,4999999999799242017
Swap,12377453,0,0,0,-200102390,56829308091103679
Swap,12377468,0,0,0,1985387610,-562454951913713500
Swap,12377475,0,0,0,-1763491355,500000000000000000
Swap,12377480,0,0,0,-404588412,114911373266935467
Swap,12377486,0,0,0,2000000000,-566850891386685789
Swap,12377505,0,0,0,-2000000000,567418527790587421
Swap,12377530,0,0,0,-3868954138,1104441928932683385
Swap,12377626,0,0,0,-972148462,280000000000000000
Swap,12377637,0,0,0,-100000000,28861662133764411
Mint,12377645,1092382261109467,193380,200310,15454577376,1282710509619309034
Swap,12377690,0,0,0,511748797,-147450712444966323
Swap,12377694,0,0,0,1478108570,-424442260061863885
Swap,12377702,0,0,0,-500000000,143479711561220112
Swap,12377703,0,0,0,-347976617,100000000000000000
Swap,12377704,0,0,0,-20023230,5757810396185226
Swap,12377714,0,0,0,-295434566,85000000000000000
Swap,12377729,0,0,0,-771965185,222509718340998144
Swap,12377740,0,0,0,-830361939,240000000000000000
Swap,12377767,0,0,0,-161157964,46658858830772101
Swap,12377773,0,0,0,821739412,-237405251913276745
Swap,12377778,0,0,0,-215218942,62175529547529590
Swap,12377782,0,0,0,-328833798,95086891030090891
Swap,12377785,0,0,0,-172763542,50000000000000000
Swap,12377790,0,0,0,-100155934,29000000000000000
Swap,12377824,0,0,0,821459228,-237320872248992297
Swap,12377825,0,0,0,1397962620,-402341584459298813
Swap,12377836,0,0,0,-12177668,3500000000000000
Swap,12377838,0,0,0,-465849630,134000000000000000
Swap,12377845,0,0,0,-1626582181,469560780581278183
Swap,12377855,0,0,0,2744573284,-790000000000000000
Swap,12377859,0,0,0,-100000000,28682767764878394
Swap,12377869,0,0,0,-348374368,100000000000000000
Swap,12377877,0,0,0,-155118224,44564636089056968
Swap,12377884,0,0,0,-917879294,264186393978915704
Swap,12377887,0,0,0,-399998837,115388723744525410
Swap,12377892,0,0,0,-350266974,101172438242924978
Swap,12377894,0,0,0,499881126,-144206291103491155
Swap,12377900,0,0,0,-556024069,160578524464078733
Swap,12377909,0,0,0,115467557,-33338605128411084
Swap,12377916,0,0,0,3449174696,-989821978424352921
Swap,12377937,0,0,0,-503104680,143796283168110473
Swap,12377941,0,0,0,-350265694,100258014044257849
Swap,12377946,0,0,0,-522746390,149851069018791453
Swap,12377946,0,0,0,-104541122,30000000000000000
Swap,12377960,0,0,0,-174152239,50000000000000000
Swap,12377960,0,0,0,-1802139133,519156678989088726
Swap,12378003,0,0,0,1793913395,-516278417627522517
Swap,12378020,0,0,0,-24372282,7000000000000000
Swap,12378027,0,0,0,300000000,-86036797185809313
Mint,12378038,1499570648517615,194750,194790,167201379,2790710881979345
Swap,12378057,0,0,0,567706928,-162576312093930447
Mint,12378075,3068914230032,-46050,414490,181389532,51921516403623349
Swap,12378084,0,0,0,-127336459,36474951089767687
Swap,12378094,0,0,0,45655468,-13066548880606003
Swap,12378110,0,0,0,-400000000,114663515534549845
Swap,12378126,0,0,0,-696493247,200000000000000000
Swap,12378130,0,0,0,-748168557,215300614704165983
Burn,12378139,-1499570648517615,194750,194790,0,50832403254742608
Swap,12378139,0,0,0,1000000000,-287321242676726737
Swap,12378151,0,0,0,880028242,-252040207532232533
Swap,12378180,0,0,0,-300200629,85978428100361086
Swap,12378181,0,0,0,-200000000,57329568277885510
Swap,12378183,0,0,0,-174318609,50000000000000000
Mint,12378260,38466559516912,194720,194840,10000000,1033365407263396
Swap,12378268,0,0,0,-2362000,677699520914276
Swap,12378281,0,0,0,-1321438707,380000000000000000
Swap,12378304,0,0,0,418244666,-120337404273193860
Swap,12378322,0,0,0,196857081,-56580424034740921
Swap,12378350,0,0,0,-20013380,5756244330561133
Burn,12378381,-3508224747038658,194660,194990,2196096821,345697133216421583
Swap,12378384,0,0,0,-277932113,80000000000000000
Swap,12378410,0,0,0,-100084795,28837093560030913
Swap,12378411,0,0,0,-519754873,150000000000000000
Mint,12378416,14688771335513,193380,194830,264647,17386686370896311
Swap,12378425,0,0,0,2000000000,-574387425769012223
Swap,12378430,0,0,0,-1740427891,500000000000000000
Mint,12378448,16506652945736045,343580,345410,50000000,0
Swap,12378450,0,0,0,474928341,-136756757095600535
Swap,12378481,0,0,0,1000000,-287592701391375
Mint,12378484,400177617732153,191770,196260,1676886465,949947102876346010
Swap,12378494,0,0,0,-243010959,70000000000000000
Swap,12378501,0,0,0,616599732,-177272110152905943
Swap,12378506,0,0,0,-120000000,34492109364226883
Swap,12378509,0,0,0,-173826554,50000000000000000
Swap,12378514,0,0,0,-500000000,144061416780679902
Swap,12378515,0,0,0,-346347954,100000000000000000
Swap,12378516,0,0,0,84648968,-24431836379236412
Swap,12378547,0,0,0,1138666827,-327655531895705518
Swap,12378559,0,0,0,500000000,-143295480312915568
Mint,12378576,209568465799064,343580,345410,634800,0
Swap,12378581,0,0,0,-132110915,37865299679309476
Swap,12378582,0,0,0,-34875332,10000000000000000
Swap,12378589,0,0,0,-34869330,10000000000000000
Mint,12378597,2000197335909935,276320,276330,1000000,0
Swap,12378616,0,0,0,417837102,-119596626471509535
Swap,12378618,0,0,0,-139704846,40000000000000000
Swap,12378630,0,0,0,-125652095,36000000000000000